SMILES,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,EState_VSA2,HeavyAtomCount,Kappa1,Kappa2,Kappa3,LabuteASA,MolLogP,PEOE_VSA14,Predcited_Energy,DFT_Energy
[Se](c1occc1)c1occc1,2.136,264.453,7.519,5.689,7.402,5.449,3.199,4.912,1.966,4.083,14.957,11,6.769,2.99,1.56,70.358,0.528,69.9,61.3365,61.35890766
[Se]1C(P[B])C1,1.999,36.629,3.699,2.77,5.483,2.432,1.51,4.865,0.989,5.548,0,5,4.181,1.642,1.26,41.403,0.211,40.858,12.4849,12.38453278
[Se]=P12CN3CN(C1)CN(C2)C3,1.999,199.943,7.475,6.44,9.047,5.235,3.977,8.538,3.919,11.759,0,11,7.254,2.196,1.09,74.538,-0.221,74.17,49.5305,49.63070522
[Se](=[Fe])=[Fe],3.266,23.774,2.707,1.115,5.037,1.414,0.289,6.185,0.051,4.508,0,3,4.558,3.558,3.558,37.493,-0.386,37.544,8.858,8.738098198
[Se-],0,0,0,0.408,2.121,0,0,0,0,0,17.069,1,1.519,0.444,4.219,17.964,-0.381,0,1.2237,1.123718619
[Se](c1ccc(Cl)cc1)/C=C/c1sccc1,1.958,431.155,10.51,7.891,11.176,7.343,4.467,7.571,2.89,6.36,0,15,10.97,5.525,3.51,104.753,3.402,105.085,98.3242,98.22416954
[Se](CCCO)CCCO,2.595,44.323,6.95,5.545,7.258,4.414,3.21,5.632,1.767,4.336,0,9,9.439,8.439,8.439,62.433,0.292,61.864,17.0561,16.95651221
[Se](C/C=C\CCC)c1ccccc1,2.201,238.561,9.356,8.071,9.784,6.432,4.76,6.828,2.884,5.178,0,13,10.56,6.938,4.92,87.212,2.791,86.987,58.8595,58.75947192
[Se](c1ccccc1)/C(Cl)=C\Cl,2.654,243.529,8.104,5.628,8.853,5.326,3.015,5.542,1.828,5.302,14.957,11,9.15,4.841,3.306,82.359,2.293,82.418,58.0801,58.07242449
[Pd]=[Se],2,2,2,0.724,3.992,1,0.129,3.969,0,0,0,2,3.182,2.182,0.028,29.804,-0.383,29.552,3.4856,3.38927838
[Se](CCCCC)CCCCC,2.691,53.893,8.364,8.065,9.778,5.414,4.992,7.414,3.027,5.596,0,11,11.519,10.519,10.519,78.304,3.908,77.968,21.6719,21.77237214
[Se](c1ccc(N)cc1)C(F)(F)F,2.715,254.349,9.19,5.929,7.642,5.472,3.085,4.798,2.117,4.505,0,12,9.418,3.372,3.152,73.913,1.118,73.351,60.0909,60.19076473
[Se](CC=Cc1ccccc1)c1ccccc1,1.827,431.507,11.054,9.044,10.757,7.949,5.344,7.412,3.437,5.731,0,16,11.193,6.319,3.692,103.174,3.148,103.117,98.7964,98.80285102
[Se](CCc1ccncc1)c1ccc(C)cc1,1.823,422.248,11.217,9.388,11.102,7.843,5.428,7.496,3.767,6.218,0,16,11.377,5.833,3.478,103.084,2.381,102.985,97.3032,97.20319839
[Se](c1[nH]ccc1)c1ccccc1,2.151,326.004,8.226,6.527,8.24,5.949,3.813,5.526,2.449,4.79,0,12,7.657,3.613,1.786,77.978,0.67,77.656,74.6145,74.68893987
[Se]=P(C=C)(C=C)C=C,4.455,129.382,6.621,4.709,7.316,3.682,2.182,6.395,1.311,7.914,0,8,8.169,3.246,1.961,58.207,2.518,57.795,33.8498,33.95024744
[Se](CC#C)C,2.484,42.1,4.121,3.193,4.906,2.414,1.339,4.264,0.637,2.454,0,5,5.079,4.079,4.079,39.114,0.79,38.442,13.6349,13.51607285
[Se](CCl)C,1.975,8,3.414,2.493,4.962,1.914,0.964,4.423,0.398,3.201,0,4,4.809,3.809,2.809,37.688,0.935,37.158,6.2999,6.200371902
[Se](C[Si](C)(C)C)C,3.154,46.532,5.914,5.615,8.328,3.061,2.55,9.182,2.994,11.432,0,7,7.736,2.904,6.736,53.861,2.034,53.436,17.806,17.90629091
[Se]([Si](C)(C)C)C=C,3.337,62.971,5.914,5.193,7.906,3.061,2.348,9.315,2.397,16.749,0,7,7.476,2.703,6.476,52.615,1.669,52.191,20.7323,20.82887751
[Se](C(Cl)=CCl)C(Cl)=CCl,3.745,123.503,7.276,4.075,8.812,4.202,1.8,5.142,0.929,5.47,14.957,9,10.159,5.908,5.596,79.948,3.244,80.292,33.2939,33.24714008
[Se](S)(S)(C)C,3.024,23.119,4.5,3.303,6.805,2,1.182,9.935,1.22,17.324,0,5,6.219,1.783,36.379,44.52,1.548,44.342,10.9999,11.09986247
[Se](CC1OCCCC1)CC1OCCCC1,1.528,145.005,10.347,9.451,11.164,7.449,6.259,8.682,4.515,6.77,0,15,11.911,6.902,4.437,99.25,2.665,99.016,41.6203,41.72031954
[Se](C(COC)COC)CC(OC)CO,3.667,113.38,10.812,9.063,10.776,6.778,4.511,6.712,2.906,5.704,12.711,14,14.359,9.897,6.76,92.074,0.198,91.663,35.2995,35.19928846
[Se](n1nccc1)(n1nccc1)(C)C,2.423,326.519,9.312,7.661,9.374,6.21,3.948,8.906,3.037,9.727,0,13,8.534,3.013,1.406,79.828,1.178,79.439,76.0911,76.19101637
[Se](Cc1ccccc1)C/C=C/C,2.243,226.019,8.648,7.364,9.077,5.932,4.161,6.583,2.57,4.731,0,12,9.567,6.047,3.751,80.847,2.885,80.566,55.5066,55.44678231
[Se](c1c(N)cccc1)c1c(N)cccc1,2.302,425.184,10.673,8.182,9.895,7.271,4.64,6.353,3.178,5.452,14.957,15,10.09,4.387,2.322,95.449,0.506,95.254,96.6892,96.78932003
[SeH][Na],1,2,2,1.447,5.324,1,0.447,6.971,0,0,0,2,3.519,2.519,0.178,36.698,-1.029,36.946,4.3408,4.440948845
[Se](C1C(OC)CCC1)C1C(OC)CCC1,1.845,178.061,10.673,9.777,11.49,7.347,6.059,8.037,4.623,7.735,0,15,11.911,5.674,2.763,99.25,2.665,99.016,48.6544,48.32994663
[Se](c1n[nH]c(C)c1C)c1n[nH]c(C)c1C,2.295,439.324,11,9.303,11.016,7.092,4.803,6.516,3.66,5.71,14.957,15,10.457,3.832,1.849,95.023,0.021,94.746,100.6235,100.7233216
BrC=C[Se]C=CBr,2.979,67.759,5.536,3.474,8.359,3.414,1.575,5.384,0.66,3.431,0,7,7.959,6.959,6.959,66.471,2.423,66.736,21.0796,21.17958371
[Cd]=[Se].[Zn]=S,0,10,4,2.231,11.764,2,0.577,14.562,0,0,0,4,9.561,18.586,8.856,59.847,0.262,60.866,9.9744,10.07434379
[Se],0,0,0,0.408,2.121,0,0,0,0,0,17.069,1,1.519,0.444,4.219,17.964,-0.381,0,1.2237,1.123718619
[Mo](=[Se])=[Se],3.266,23.774,2.707,1.225,6.658,1.414,0.333,10.247,0.068,10.869,13.27,3,4.727,3.727,3.727,38.647,-0.764,38.902,9.7125,9.727261767
[Se](c1ccccc1)C,2.832,145.733,5.82,4.795,6.508,3.932,2.523,5.093,1.517,3.363,0,8,5.869,2.907,1.359,56.077,1.064,55.573,36.3478,36.38361443
[Se-2].[Fe+2],0,2,0,0.762,3.579,0,0,0,0,0,34.137,2,11.704,2.039,0.001,34.56,-0.383,17.069,2.4943,2.307220576
[Se]([Si](C)(C)C)c1ccccc1,2.658,212.754,8.32,7.295,10.008,5.078,3.819,10.653,3.527,17.939,0,11,9.048,3.57,3.755,75.632,1.851,75.432,53.2346,53.13464367
[SeH-],0,0,0,0.447,2.324,0,0,0,0,0,17.069,1,1.519,0.444,4.219,17.964,-0.649,17.069,1.3408,1.440939326
[Se](Cc1occc1)C,2.5,134.249,5.82,4.756,6.469,3.932,2.446,5.37,1.512,3.329,0,8,5.928,2.954,1.391,55.236,1.532,54.671,33.9827,33.95213798
